No;type;metal;carat;weight1;pearls;color;shape;grade;weight2;size;price;price_sell;
1;Bracellet;Silver;92.5;-;South Sea ;White;Round;B;8.45;9.8-10;0;3788000;
2;Bracellet;Rhodium;-;-;South Sea ;Champagne;Drop;B;3.03;7.0-7.7;0;912000;
3;Bracellet;Rhodium;-;-;South Sea ;White;Drop;B;7.49;9.8-10.3;0;1992000;
4;Bracellet;Rhodium;-;-;South Sea ;Champagne;Semi Round;B;4.96;10.3-10.8;0;1441000;
5;Bracellet;Rhodium;-;-;South Sea ;Champagne;Semi Round;B;3.0;7.7-8.6;0;1015000;
6;Bracellet;Rhodium;-;-;South Sea ;Champagne;Oval;B;0.55;7.4;0;370000;
7;Bracellet;Rhodium;-;-;South Sea ;Gold & White;Tear Drop;B;6.89;10.1-10.6;0;2035000;
8;Bracellet;Strap;-;-;South Sea ;White;Oval;B;1.33;9.4;0;530000;
9;Bracellet;Strap;-;-;South Sea ;White;Oval;B;0.96;8.7;0;388000;
10;Earring;Rhodium;-;-;South Sea ;Champagne;Drop;B;1.9;8.4;0;772000;
11;Necklace;Rhodium;-;-;Tahitian Sea;Black;Round;B;1.27;9.7;0;550000;
12;Necklace;Rhodium;-;-;South Sea ;White;Drop;B;1.44;9.9;0;852000;
13;Necklace;Rhodium;-;-;South Sea ;Gold;Round;B;2.3;11.7;0;985000;
14;Necklace;Rhodium;-;-;South Sea ;Gold;Round;B;2.52;12.2;0;948000;
15;Necklace;Rhodium;-;-;South Sea ;Champagne;Round;B;1.62;10.5;0;685000;
16;Necklace;Rhodium;-;-;South Sea ;Gold;Semi Round;B;2.54;8.5-8.7;0;678000;
17;Ring;Silver;92.5;-;South Sea Pearl;Champagne;Round;B+;1.5;10.1;0;1032000;
18;Ring;Silver;92.5;-;South Sea Pearl;Champagne;Semi Round;A;1.91;11;0;1098000;
19;Ring;Silver;92.5;-;South Sea Pearl;Gold;Semi Round;A;1.63;10.4;0;917000;
20;Ring;Silver;92.5;-;South Sea Pearl;Champagne;Round;A;2.06;11.2;0;1281000;
21;Ring;Silver;92.5;-;South Sea Pearl;Champagne;Round;B+;3.29;11.9;0;1851000;
22;Ring;Silver;92.5;-;South Sea Pearl;Champagne;Round;B+;1.93;11.1;0;1165000;
